상품ID(내부용),상품명,카테고리,판매가,재고수량,옵션명1,옵션값1,옵션명2,옵션값2,브랜드,모델명,바코드,상세설명,대표이미지URL,추가이미지URL1,배송비,배송방법,원산지,제조사,과세구분,판매상태,전시상태,상품ID
661,[HOMEPLUS] 더미 상품 661 (네이비/270),패션잡화 > 가방 > 백팩,186070,8,색상,네이비,사이즈,270,HOMEPLUS,HOM40851,8880595633364,HOMEPLUS 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,롯데택배,독일,HOMEPLUS 제조사,면세,품절,전시안함,12708939784
662,[STARLINE] 더미 상품 662 (화이트/M),디지털/가전 > 모니터,215150,98,색상,화이트,사이즈,M,STARLINE,STA76652,8854563759451,STARLINE 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,롯데택배,중국,STARLINE 제조사,면세,품절,전시중,12708939855
667,[HOMEPLUS] 더미 상품 667 (레드/L),패션의류 > 아우터 > 패딩,114380,273,색상,레드,사이즈,L,HOMEPLUS,HOM61922,8893537694351,HOMEPLUS 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,롯데택배,독일,HOMEPLUS 제조사,과세,판매중,전시안함,12708939938
669,[TECHONE] 더미 상품 669 (그린/250),패션의류 > 아우터 > 패딩,75710,275,색상,그린,사이즈,250,TECHONE,TEC15638,8810887938755,TECHONE 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,한진택배,미국,TECHONE 제조사,면세,품절,전시중,12708940050
672,[HOMEPLUS] 더미 상품 672 (베이지/250),패션잡화 > 가방 > 백팩,74840,232,색상,베이지,사이즈,250,HOMEPLUS,HOM90228,8812821940010,HOMEPLUS 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,한진택배,독일,HOMEPLUS 제조사,면세,품절,전시중,12708940142
674,[MOON] 더미 상품 674 (그린/250),패션의류 > 아우터 > 패딩,74430,144,색상,그린,사이즈,250,MOON,MOO83187,8881992074942,MOON 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,CJ대한통운,독일,MOON 제조사,면세,품절,전시안함,12708940242
675,[MOON] 더미 상품 675 (그레이/260),패션잡화 > 가방 > 크로스백,191900,13,색상,그레이,사이즈,260,MOON,MOO61309,8846261328299,MOON 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,롯데택배,베트남,MOON 제조사,면세,판매중,전시안함,12708940326
676,[TECHONE] 더미 상품 676 (화이트/XL),패션의류 > 아우터 > 코트,236870,42,색상,화이트,사이즈,XL,TECHONE,TEC11701,8897835046786,TECHONE 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,한진택배,중국,TECHONE 제조사,면세,품절,전시안함,12708940407
679,[HOMEPLUS] 더미 상품 679 (블랙/L),디지털/가전 > 모니터,216860,237,색상,블랙,사이즈,L,HOMEPLUS,HOM85561,8879505881928,HOMEPLUS 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,CJ대한통운,미국,HOMEPLUS 제조사,면세,품절,전시중,12708940496
683,[GREENPET] 더미 상품 683 (네이비/L),패션잡화 > 가방 > 크로스백,290520,276,색상,네이비,사이즈,L,GREENPET,GRE72957,8895165881256,GREENPET 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,롯데택배,미국,GREENPET 제조사,면세,판매중,전시중,12708940600
684,[DIGIPRO] 더미 상품 684 (그린/FREE),디지털/가전 > 노트북,155550,297,색상,그린,사이즈,FREE,DIGIPRO,DIG93049,8804012645461,DIGIPRO 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,롯데택배,미국,DIGIPRO 제조사,과세,품절,전시안함,12708940675
685,[NAVYFOX] 더미 상품 685 (화이트/260),패션잡화 > 가방 > 크로스백,169910,146,색상,화이트,사이즈,260,NAVYFOX,NAV95296,8856700207122,NAVYFOX 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,CJ대한통운,독일,NAVYFOX 제조사,면세,품절,전시안함,12708940752
686,[NAVYFOX] 더미 상품 686 (그레이/M),패션의류 > 아우터 > 패딩,46230,185,색상,그레이,사이즈,M,NAVYFOX,NAV12444,8856200217321,NAVYFOX 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,롯데택배,독일,NAVYFOX 제조사,과세,판매중,전시안함,12708940843
687,[TECHONE] 더미 상품 687 (베이지/XL),반려동물 > 강아지용품 > 사료,90090,231,색상,베이지,사이즈,XL,TECHONE,TEC20586,8803773899918,TECHONE 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,한진택배,독일,TECHONE 제조사,과세,판매중,전시안함,12708940920
691,[GREENPET] 더미 상품 691 (그린/260),패션의류 > 아우터 > 코트,72200,143,색상,그린,사이즈,260,GREENPET,GRE94841,8896364354033,GREENPET 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,CJ대한통운,국산,GREENPET 제조사,과세,판매중,전시안함,12708941020
694,[MOON] 더미 상품 694 (블랙/270),패션의류 > 아우터 > 패딩,117680,290,색상,블랙,사이즈,270,MOON,MOO94654,8840426965439,MOON 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,CJ대한통운,국산,MOON 제조사,과세,품절,전시안함,12708941101
695,[DIGIPRO] 더미 상품 695 (네이비/S),반려동물 > 강아지용품 > 사료,84010,107,색상,네이비,사이즈,S,DIGIPRO,DIG55652,8850699704985,DIGIPRO 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,CJ대한통운,국산,DIGIPRO 제조사,과세,판매중,전시중,12708941167
698,[TECHONE] 더미 상품 698 (베이지/S),패션잡화 > 가방 > 백팩,11100,269,색상,베이지,사이즈,S,TECHONE,TEC56298,8838950039174,TECHONE 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,롯데택배,독일,TECHONE 제조사,면세,판매중,전시중,12708941277
699,[HOMEPLUS] 더미 상품 699 (네이비/270),패션의류 > 아우터 > 패딩,238020,237,색상,네이비,사이즈,270,HOMEPLUS,HOM42280,8899407477156,HOMEPLUS 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,한진택배,중국,HOMEPLUS 제조사,면세,품절,전시안함,12708941343
703,[STARLINE] 더미 상품 703 (그레이/S),반려동물 > 강아지용품 > 사료,68680,120,색상,그레이,사이즈,S,STARLINE,STA56295,8803339836980,STARLINE 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,CJ대한통운,독일,STARLINE 제조사,과세,품절,전시안함,12708941434
706,[URBANWEAR] 더미 상품 706 (네이비/XL),패션잡화 > 신발 > 운동화,189980,268,색상,네이비,사이즈,XL,URBANWEAR,URB18593,8836252637733,URBANWEAR 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,한진택배,독일,URBANWEAR 제조사,면세,품절,전시중,12708941538
708,[URBANWEAR] 더미 상품 708 (베이지/L),패션의류 > 아우터 > 코트,205210,257,색상,베이지,사이즈,L,URBANWEAR,URB86786,8881875508811,URBANWEAR 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,롯데택배,일본,URBANWEAR 제조사,면세,판매중,전시안함,12708941597
711,[MOON] 더미 상품 711 (그린/260),패션잡화 > 가방 > 크로스백,21600,191,색상,그린,사이즈,260,MOON,MOO74725,8835780500165,MOON 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,CJ대한통운,중국,MOON 제조사,면세,판매중,전시안함,12708941684
716,[TECHONE] 더미 상품 716 (그린/S),패션의류 > 아우터 > 코트,126950,21,색상,그린,사이즈,S,TECHONE,TEC62685,8811002198577,TECHONE 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,CJ대한통운,독일,TECHONE 제조사,면세,품절,전시중,12708941765
718,[COOKMASTER] 더미 상품 718 (그린/S),디지털/가전 > 노트북,45620,153,색상,그린,사이즈,S,COOKMASTER,COO13910,8895073900947,COOKMASTER 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,CJ대한통운,독일,COOKMASTER 제조사,면세,품절,전시중,12708941831
721,[MOON] 더미 상품 721 (레드/L),반려동물 > 강아지용품 > 사료,172980,222,색상,레드,사이즈,L,MOON,MOO95924,8826269911490,MOON 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,CJ대한통운,중국,MOON 제조사,과세,판매중,전시안함,12708941919
722,[MOON] 더미 상품 722 (그린/270),패션의류 > 상의 > 티셔츠,14190,235,색상,그린,사이즈,270,MOON,MOO57635,8800690118335,MOON 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,CJ대한통운,중국,MOON 제조사,면세,품절,전시안함,12708942008
723,[GREENPET] 더미 상품 723 (블루/L),패션잡화 > 가방 > 크로스백,129640,159,색상,블루,사이즈,L,GREENPET,GRE55932,8833918655538,GREENPET 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,롯데택배,독일,GREENPET 제조사,과세,판매중,전시안함,12708942085
724,[FASHIONLAB] 더미 상품 724 (베이지/L),패션의류 > 아우터 > 패딩,274410,225,색상,베이지,사이즈,L,FASHIONLAB,FAS83913,8842284399106,FASHIONLAB 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,롯데택배,베트남,FASHIONLAB 제조사,과세,판매중,전시안함,12708942149
727,[MOON] 더미 상품 727 (블랙/FREE),패션잡화 > 가방 > 백팩,195260,273,색상,블랙,사이즈,FREE,MOON,MOO70518,8817840660970,MOON 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,롯데택배,미국,MOON 제조사,과세,판매중,전시중,12708942249
729,[NAVYFOX] 더미 상품 729 (레드/XL),패션잡화 > 신발 > 운동화,177830,110,색상,레드,사이즈,XL,NAVYFOX,NAV21714,8860125623897,NAVYFOX 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,한진택배,독일,NAVYFOX 제조사,과세,판매중,전시안함,12708942323
731,[FASHIONLAB] 더미 상품 731 (네이비/L),패션의류 > 하의 > 청바지,134780,250,색상,네이비,사이즈,L,FASHIONLAB,FAS13187,8801285567682,FASHIONLAB 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,롯데택배,미국,FASHIONLAB 제조사,과세,품절,전시안함,12708942406
735,[GREENPET] 더미 상품 735 (그린/XL),패션의류 > 아우터 > 패딩,132550,101,색상,그린,사이즈,XL,GREENPET,GRE48649,8854755900463,GREENPET 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,롯데택배,독일,GREENPET 제조사,면세,판매중,전시안함,12708942496
740,[GREENPET] 더미 상품 740 (베이지/L),패션의류 > 상의 > 티셔츠,78110,255,색상,베이지,사이즈,L,GREENPET,GRE16450,8856093012761,GREENPET 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,CJ대한통운,국산,GREENPET 제조사,면세,품절,전시안함,12708942563
741,[GREENPET] 더미 상품 741 (그린/260),패션의류 > 아우터 > 패딩,271100,69,색상,그린,사이즈,260,GREENPET,GRE20149,8834080196064,GREENPET 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,롯데택배,일본,GREENPET 제조사,면세,판매중,전시안함,12708942672
742,[MOON] 더미 상품 742 (블랙/S),패션의류 > 아우터 > 패딩,84540,264,색상,블랙,사이즈,S,MOON,MOO69441,8850606243141,MOON 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,한진택배,국산,MOON 제조사,과세,판매중,전시중,12708942743
743,[HOMEPLUS] 더미 상품 743 (블랙/XL),패션의류 > 상의 > 티셔츠,72530,218,색상,블랙,사이즈,XL,HOMEPLUS,HOM70633,8811835357852,HOMEPLUS 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,CJ대한통운,베트남,HOMEPLUS 제조사,과세,판매중,전시중,12708942847
744,[DIGIPRO] 더미 상품 744 (그린/270),패션잡화 > 가방 > 크로스백,115720,158,색상,그린,사이즈,270,DIGIPRO,DIG78851,8884964491813,DIGIPRO 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,CJ대한통운,미국,DIGIPRO 제조사,과세,판매중,전시중,12708942928
745,[HOMEPLUS] 더미 상품 745 (블루/XL),패션의류 > 상의 > 티셔츠,281180,6,색상,블루,사이즈,XL,HOMEPLUS,HOM91259,8851295487879,HOMEPLUS 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,롯데택배,국산,HOMEPLUS 제조사,과세,판매중,전시안함,12708943013
746,[MOON] 더미 상품 746 (그레이/260),패션의류 > 상의 > 티셔츠,11340,253,색상,그레이,사이즈,260,MOON,MOO66595,8818868436483,MOON 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,한진택배,일본,MOON 제조사,면세,판매중,전시중,12708943097
747,[FASHIONLAB] 더미 상품 747 (블랙/FREE),패션잡화 > 신발 > 운동화,22020,276,색상,블랙,사이즈,FREE,FASHIONLAB,FAS75166,8821195497257,FASHIONLAB 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,한진택배,국산,FASHIONLAB 제조사,과세,품절,전시안함,12708943186
748,[FASHIONLAB] 더미 상품 748 (네이비/250),패션의류 > 아우터 > 코트,33860,101,색상,네이비,사이즈,250,FASHIONLAB,FAS90357,8845491557999,FASHIONLAB 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,한진택배,중국,FASHIONLAB 제조사,과세,판매중,전시중,12708943284
749,[GREENPET] 더미 상품 749 (베이지/S),디지털/가전 > 노트북,93270,127,색상,베이지,사이즈,S,GREENPET,GRE61330,8895770706955,GREENPET 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,CJ대한통운,미국,GREENPET 제조사,면세,품절,전시안함,12708943374
751,[URBANWEAR] 더미 상품 751 (네이비/270),패션의류 > 아우터 > 코트,229640,21,색상,네이비,사이즈,270,URBANWEAR,URB30977,8863118384377,URBANWEAR 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,CJ대한통운,일본,URBANWEAR 제조사,면세,판매중,전시안함,12708943437
753,[DIGIPRO] 더미 상품 753 (블랙/270),패션잡화 > 가방 > 크로스백,212960,96,색상,블랙,사이즈,270,DIGIPRO,DIG13396,8883786862773,DIGIPRO 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,한진택배,국산,DIGIPRO 제조사,과세,판매중,전시안함,12708943511
755,[STARLINE] 더미 상품 755 (블랙/270),디지털/가전 > 노트북,256080,58,색상,블랙,사이즈,270,STARLINE,STA34137,8813837960852,STARLINE 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,CJ대한통운,국산,STARLINE 제조사,면세,판매중,전시안함,12708943632
756,[FASHIONLAB] 더미 상품 756 (블랙/S),패션의류 > 아우터 > 코트,168740,134,색상,블랙,사이즈,S,FASHIONLAB,FAS31174,8804006477872,FASHIONLAB 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,한진택배,국산,FASHIONLAB 제조사,면세,품절,전시중,12708943743
757,[GREENPET] 더미 상품 757 (네이비/250),패션잡화 > 가방 > 백팩,46080,274,색상,네이비,사이즈,250,GREENPET,GRE79807,8853590644302,GREENPET 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,한진택배,국산,GREENPET 제조사,과세,품절,전시안함,12708943833
760,[COOKMASTER] 더미 상품 760 (레드/XL),패션의류 > 아우터 > 코트,268300,97,색상,레드,사이즈,XL,COOKMASTER,COO24916,8885853609648,COOKMASTER 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,CJ대한통운,일본,COOKMASTER 제조사,면세,품절,전시안함,12708943957
761,[HOMEPLUS] 더미 상품 761 (그린/260),패션잡화 > 가방 > 크로스백,195030,123,색상,그린,사이즈,260,HOMEPLUS,HOM59850,8835147127873,HOMEPLUS 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,롯데택배,일본,HOMEPLUS 제조사,과세,품절,전시중,12708944047
764,[DIGIPRO] 더미 상품 764 (네이비/250),패션의류 > 상의 > 티셔츠,204500,261,색상,네이비,사이즈,250,DIGIPRO,DIG61499,8832822022726,DIGIPRO 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,롯데택배,중국,DIGIPRO 제조사,과세,품절,전시중,12708944107
767,[STARLINE] 더미 상품 767 (그레이/XL),패션잡화 > 가방 > 크로스백,136140,70,색상,그레이,사이즈,XL,STARLINE,STA93217,8852353242303,STARLINE 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,한진택배,일본,STARLINE 제조사,과세,판매중,전시안함,12708944174
768,[STARLINE] 더미 상품 768 (화이트/XL),패션잡화 > 가방 > 백팩,225290,15,색상,화이트,사이즈,XL,STARLINE,STA32934,8851043193430,STARLINE 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,CJ대한통운,미국,STARLINE 제조사,면세,품절,전시중,12708944238
771,[DIGIPRO] 더미 상품 771 (블랙/250),반려동물 > 강아지용품 > 사료,251540,112,색상,블랙,사이즈,250,DIGIPRO,DIG92188,8845330076179,DIGIPRO 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,CJ대한통운,중국,DIGIPRO 제조사,면세,품절,전시중,12708944364
776,[NAVYFOX] 더미 상품 776 (블랙/S),반려동물 > 강아지용품 > 사료,147590,296,색상,블랙,사이즈,S,NAVYFOX,NAV60250,8817195133603,NAVYFOX 더미 상품 상세 설명입니다. 테스트용 자동등록 데이터.,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,롯데택배,중국,NAVYFOX 제조사,과세,판매중,전시안함,12708944465
